Player,BirthYear,transfermarkt_player_id
Cheikhou Kouyaté,1989,
Cher Ndour,2004,
Chiedozie Ogbene,1997,
Chris Richards,2000,
Chris Smalling,1989,
Chris Wood,1991,
Chrislain Matsima,2002,
Christian Benteke,1990,
Christian Eriksen,1992,
Christian Kouamé,1997,
Christian Mawissa,2005,
Christian Nørgaard,1994,
Christian Oliva,1996,
Christian Pulisic,1998,
Christoph Baumgartner,1999,
Christophe Hérelle,1992,
Christopher Jullien,1993,
Christopher Lenz,1994,
Christopher Nkunku,1997,
Christopher Wooh,2001,
Ciprian Tătărușanu,1986,
Ciro Immobile,1990,
Claudio Beauvue,1988,
Claudio Bravo,1983,
Claudio Marchisio,1986,
Clinton N'Jie,1993,
Clément Grenier,1991,
Clément Lenglet,1995,
Clément Michelin,1997,
Cody Drameh,2001,
Colin Dagba,1998,
Conor Coady,1993,
Conor Gallagher,2000,
Conor Hourihane,1991,
Corentin Jean,1995,
Corentin Tolisso,1994,
Craig Dawson,1990,
Cristian Benavente,1994,
Cristian Romero,1998,
Cristian Tello,1991,
Cristian Volpato,2003,
Cristiano Biraghi,1992,
Cristiano Ronaldo,1985,
Cuco Martina,1989,
Cyle Larin,1995,
Cyril Ngonge,2000,
Cédric Bakambu,1991,
Cédric Brunner,1994,
Cédric Soares,1991,
César Azpilicueta,1989,
César Montes,1997,
Daichi Kamada,1996,
Dale Stephens,1989,
Daley Blind,1990,
Daley Sinkgraven,1995,
Damien Da Silva,1988,
Damien Le Tallec,1990,
Dan Ndoye,2000,
Dango Ouattara,2002,
Dani Alves,1983,
Dani García,1990,
Dani Gómez,1998,
Dani Olmo,1998,
Daniel Bessa,1993,
Daniel Caligiuri,1988,
Daniel Carriço,1988,
Daniel Didavi,1990,
Daniel Ginczek,1991,
Daniel James,1997,
Daniel Maldini,2001,
Daniel Podence,1995,
Daniel Sturridge,1989,
Daniel Wass,1989,
Daniele Rugani,1994,
Daniele Verde,1996,
Danilo,1991,
Danilo Avelar,1989,
Danilo Cataldi,1994,
Danilo Pereira,1991,
Danny Drinkwater,1990,
Danny Ings,1992,
Danny Latza,1989,
Danny Welbeck,1990,
Danny da Costa,1993,
Dara O'Shea,1999,
Darko Lazović,1990,
Darwin Machís,1993,
David Alaba,1992,
David Datro Fofana,2002,
David García,1994,
David Luiz,1987,
David Nemeth,2001,
David Okereke,1997,
David Ospina,1988,
David Raum,1998,
David Raya,1995,
David Silva,1986,
David Soria,1993,
Davide Frattesi,1999,
Davide Santon,1991,
Davide Zappacosta,1992,
Davy Klaassen,1993,
Davy Pröpper,1991,
Dawid Kownacki,1997,
Dayot Upamecano,1998,
Dean Henderson,1997,
Dean Huijsen,2005,
Declan Rice,1999,
Dedryck Boyata,1990,
Dejan Joveljić,1999,
Dejan Kulusevski,2000,
Dejan Lovren,1989,
Dele Alli,1996,
Demarai Gray,1996,
Denis Bouanga,1994,
Denis Cheryshev,1990,
Denis Suárez,1994,
Denis Vavro,1996,
Denis Zakaria,1996,
Deniz Undav,1996,
Dennis Praet,1994,
Dereck Kutesa,1997,
Deyverson,1991,
Diafra Sakho,1989,
Diego Carlos,1993,
Diego Falcinelli,1991,
Diego Farias,1990,
Diego Godín,1986,
Diego Lainez,2000,
Diego Laxalt,1993,
Diego Llorente,1993,
Diego Moreira,2004,
Diego Perotti,1988,
Diego Rico,1993,
Diego Rolán,1993,
Dimitri Foulquier,1993,
Diogo Jota,1996,
Dion Lopy,2002,
Divock Origi,1995,
Djed Spence,2000,
Djibril Sidibé,1992,
Djibril Sow,1997,
Domagoj Bradarić,1999,
Domingos Duarte,1995,
Domingos Quina,1999,
Dominic Solanke,1997,
Dominik Kaiser,1988,
Dominik Kohr,1994,
Dominik Szoboszlai,2000,
Dominique Heintz,1993,
Donny van de Beek,1997,
Donyell Malen,1999,
Douglas Costa,1990,
Douglas Luiz,1998,
Doğan Alemdar,2002,
Dries Mertens,1987,
Duván Zapata,1991,
Dušan Tadić,1988,
Dwight McNeil,1999,
Dylan Bronn,1995,
Désiré Doué,2005,
Ebrima Colley,2000,
Eddie Nketiah,1999,
Eddie Salcedo,2001,
Eddy Gnahoré,1993,
Eden Hazard,1991,
Edgar Ié,1994,
Edimilson Fernandes,1996,
Edin Džeko,1986,
Edinson Cavani,1987,
Edoardo Bove,2002,
Edoardo Goldaniga,1993,
Edouard Mendy,1992,
Edouard Michut,2003,
Eduard Löwen,1997,
