Player,BirthYear,transfermarkt_player_id,rumor_count,rumor_prob_max,rumor_prob_mean,rumor_first,rumor_last,leagues_mentioned
Billy Ketkeophomphone,1990.0,,,,,,,
Birger Meling,1994.0,,,,,,,
Birger Verstraete,1994.0,,,,,,,
Björn Engels,1994.0,,,,,,,
Blaise Matuidi,1987.0,,,,,,,
Bobby Clark,2005.0,,,,,,,
Bobby De Cordova-Reid,1993.0,,,,,,,
Bobby Wood,1992.0,,,,,,,
Borja Bastón,1992.0,,,,,,,
Borja Iglesias,1993.0,,,,,,,
Borja Mayoral,1997.0,,,,,,,
Borja Sainz,2001.0,,,,,,,
Borja Valero,1985.0,,,,,,,
Borna Sosa,1998.0,,,,,,,
Bosko Sutalo,2000.0,,,,,,,
Boubacar Kamara,1999.0,,,,,,,
Boubacar Traoré,2001.0,,,,,,,
Boubakary Soumaré,1999.0,,,,,,,
Boulaye Dia,1996.0,,,,,,,
Bradley Barcola,2002.0,,,,,,,
Bradley Locko,2002.0,,,,,,,
Brahim Díaz,1999.0,,,,,,,
Brais Méndez,1997.0,,,,,,,
Brajan Gruda,2004.0,,,,,,,
Branco van den Boomen,1995.0,,,,,,,
Brandon Soppy,2002.0,,,,,,,
Brandon Williams,2000.0,,,,,,,
Breel Embolo,1997.0,,,,,,,
Brenden Aaronson,2000.0,,,,,,,
Brian Brobbey,2002.0,,,,,,,
Brian Oliván,1994.0,,,,,,,
Brice Samba,1994.0,,,,,,,
Bruma,1994.0,,,,,,,
Bruno Amione,2002.0,,,,,,,
Bruno Ecuele Manga,1988.0,,,,,,,
Bruno Gaspar,1993.0,,,,,,,
Bruno González,1990.0,,,,,,,
Bruno Jordão,1998.0,,,,,,,
Bruno Peres,1990.0,,,,,,,
Bryan Cristante,1995.0,,,,,,,
Bryan Dabo,1992.0,,,,,,,
Bryan Gil,2001.0,,,,,,,
Bryan Reynolds,2001.0,,,,,,,
Bryan Zaragoza,2001.0,,,,,,,
Caiuby,1988.0,,,,,,,
Caleb Okoli,2001.0,,,,,,,
Callum Hudson-Odoi,2000.0,,,,,,,
Callum Robinson,1995.0,,,,,,,
Callum Wilson,1992.0,,,,,,,
Calum Chambers,1995.0,,,,,,,
Calvin Stengs,1998.0,,,,,,,
Cameron Archer,2001.0,,,,,,,
Carles Aleñá,1998.0,,,,,,,
Carles Pérez,1998.0,,,,,,,
Carlos Alcaraz,2002.0,,,,,,,
Carlos Augusto,1999.0,,,,,,,
Carlos Bacca,1986.0,,,,,,,
Carlos Clerc,1992.0,,,,,,,
Carlos Fernández,1996.0,,,,,,,
Carlos Soler,1997.0,,,,,,,
Carlos Vinícius,1995.0,,,,,,,
Carney Chukwuemeka,2003.0,,,,,,,
Casemiro,1992.0,,,,,,,
Casimir Ninga,1993.0,,,,,,,
Castello Lukeba,2002.0,,,,,,,
Cedric Teuchert,1997.0,,,,,,,
Cengiz Ünder,1997.0,,,,,,,
Cenk Tosun,1991.0,,,,,,,
Cenk Özkacar,2000.0,,,,,,,
Cesare Casadei,2003.0,,,,,,,
Cesc Fàbregas,1987.0,,,,,,,
Chadrac Akolo,1995.0,,,,,,,
Chancel Mbemba,1994.0,,,,,,,
Charalampos Lykogiannis,1993.0,,,,,,,
Charles De Ketelaere,2001.0,,,,,,,
Charlie Austin,1989.0,,,,,,,
Charlie Taylor,1993.0,,,,,,,
Charly Musonda Jr.,1996.0,,,,,,,
Cheick Doucouré,2000.0,,,,,,,
Cheick Timite,1997.0,,,,,,,
Cheikh M'Bengue,1988.0,,,,,,,
Cheikhou Kouyaté,1989.0,,,,,,,
Cher Ndour,2004.0,,,,,,,
Chiedozie Ogbene,1997.0,,,,,,,
Chris Richards,2000.0,,,,,,,
Chris Smalling,1989.0,,,,,,,
Chris Wood,1991.0,,,,,,,
Chrislain Matsima,2002.0,,,,,,,
Christian Benteke,1990.0,,,,,,,
Christian Eriksen,1992.0,,,,,,,
Christian Kouamé,1997.0,,,,,,,
Christian Mawissa,2005.0,,,,,,,
Christian Nørgaard,1994.0,,,,,,,
Christian Oliva,1996.0,,,,,,,
Christian Pulisic,1998.0,,,,,,,
Christoph Baumgartner,1999.0,,,,,,,
Christophe Hérelle,1992.0,,,,,,,
Christopher Jullien,1993.0,,,,,,,
Christopher Lenz,1994.0,,,,,,,
Christopher Nkunku,1997.0,,,,,,,
Christopher Wooh,2001.0,,,,,,,
Ciprian Tătărușanu,1986.0,,,,,,,
Ciro Immobile,1990.0,,,,,,,
Claudio Beauvue,1988.0,,,,,,,
